Datetime,open,high,low,close,adj close,volume,color
2022-01-05 09:30:00-05:00,333.02,335.02,333.0,334.13,334.1300048828125,429543,green
2022-01-05 09:31:00-05:00,334.01,334.845,333.59,333.64,333.6400146484375,43775,red
2022-01-05 09:32:00-05:00,333.635,334.4,333.218,333.53,333.5299987792969,67392,red
2022-01-05 09:33:00-05:00,333.41,333.595,332.46,333.04,333.0400085449219,84872,red
2022-01-05 09:34:00-05:00,332.93,333.29,332.37,332.37,332.3699951171875,76257,red
2022-01-05 09:35:00-05:00,332.5,333.19,332.5,333.19,333.19000244140625,60567,green
2022-01-05 09:36:00-05:00,332.875,333.68,332.71,333.68,333.67999267578125,66415,green
2022-01-05 09:37:00-05:00,334.125,334.21,333.54,333.58,333.5799865722656,47877,red
2022-01-05 09:38:00-05:00,333.93,333.93,333.53,333.63,333.6300048828125,29250,red
2022-01-05 09:39:00-05:00,333.93,333.93,333.93,333.93,333.92999267578125,37918,red
2022-01-05 09:40:00-05:00,335.0,335.15,334.76,335.15,335.1499938964844,57032,green
2022-01-05 09:41:00-05:00,335.0,335.03,334.81,334.906,334.906005859375,48874,red
2022-01-05 09:42:00-05:00,334.12,334.6,334.12,334.42,334.4200134277344,31533,green
2022-01-05 09:43:00-05:00,334.5,334.65,334.5,334.65,334.6499938964844,89392,green
2022-01-05 09:44:00-05:00,334.51,334.68,334.415,334.57,334.57000732421875,32465,green
2022-01-05 09:45:00-05:00,334.0,334.13,333.79,334.11,334.1099853515625,46690,green
2022-01-05 09:46:00-05:00,334.25,334.25,334.25,334.25,334.25,36016,red
2022-01-05 09:47:00-05:00,334.0,334.41,334.0,334.38,334.3800048828125,27276,green
2022-01-05 09:48:00-05:00,334.25,334.38,333.68,334.28,334.2799987792969,31301,green
2022-01-05 09:49:00-05:00,334.04,334.39,334.01,334.39,334.3900146484375,25731,green
2022-01-05 09:50:00-05:00,334.36,334.36,333.45,333.77,333.7699890136719,50292,red
2022-01-05 09:51:00-05:00,333.75,334.87,333.75,334.75,334.75,77343,green
2022-01-05 09:52:00-05:00,335.25,335.505,334.93,334.935,334.9349975585937,56210,red
2022-01-05 09:53:00-05:00,335.0,335.33,334.43,334.43,334.42999267578125,96508,red
2022-01-05 09:54:00-05:00,334.36,334.63,334.29,334.63,334.6300048828125,31261,green
2022-01-05 09:55:00-05:00,334.68,334.92,334.32,334.75,334.75,29403,green
2022-01-05 09:56:00-05:00,334.86,335.05,334.835,334.835,334.8349914550781,22700,red
2022-01-05 09:57:00-05:00,334.75,335.17,334.52,334.52,334.5199890136719,19376,red
2022-01-05 09:58:00-05:00,334.75,334.87,334.69,334.816,334.81640625,16224,green
